Film,Rotten Tomatoes,Metacritic,CinemaScore
Howard the Duck,14% (81 reviews)[24],28 (21 reviews)[25],B-[26]
The Punisher (1989),28% (18 reviews)[27],63 (4 reviews)[28],NA
Captain America (1990),13% (16 reviews)[29],NA,NA
The Fantastic Four (1994),30% (10 reviews)[30],NA,NA
Blade,57% (106 reviews)[31],47 (25 reviews)[32],A-[26]
X-Men,82% (175 reviews)[33],64 (33 reviews)[34],A-[26]
Blade II,57% (151 reviews)[35],52 (28 reviews)[36],B+[26]
Spider-Man,90% (244 reviews)[37],73 (38 reviews)[38],A-[26]
Daredevil,44% (229 reviews)[39],42 (35 reviews)[40],B[26]
X2,85% (247 reviews)[41],68 (37 reviews)[42],A[26]
Hulk,62% (237 reviews)[43],54 (40 reviews)[44],B-[26]
The Punisher (2004),29% (173 reviews)[45],33 (36 reviews)[46],B-[26]
Spider-Man 2,93% (275 reviews)[47],83 (41 reviews)[48],A-[26]
Blade: Trinity,25% (168 reviews)[49],38 (30 reviews)[50],B-[26]
Elektra,11% (166 reviews)[51],34 (35 reviews)[52],B[26]
Man-Thing,17% (6 reviews)[53],NA,NA
Fantastic Four (2005),28% (214 reviews)[54],40 (35 reviews)[55],B[26]
X-Men: The Last Stand,57% (240 reviews)[56],58 (38 reviews)[57],A-[26]
Ghost Rider,26% (141 reviews)[58],35 (20 reviews)[59],B[26]
Spider-Man 3,63% (262 reviews)[60],59 (40 reviews)[61],B+[26]
Fantastic Four: Rise of the Silver Surfer,37% (171 reviews)[62],45 (33 reviews)[63],B[26]
Iron Man,94% (281 reviews)[64],79 (38 reviews)[65],A[26]
The Incredible Hulk,67% (238 reviews)[66],61 (38 reviews)[67],A-[26]
Punisher: War Zone,29% (111 reviews)[68],30 (24 reviews)[69],B-[26]
X-Men Origins: Wolverine,37% (263 reviews)[70],40 (39 reviews)[71],B+[26]
Iron Man 2,73% (304 reviews)[72],57 (40 reviews)[73],A[26]
Thor,77% (291 reviews)[74],57 (40 reviews)[75],B+[26]
X-Men: First Class,86% (298 reviews)[76],65 (38 reviews)[77],B+[26]
Captain America: The First Avenger,80% (274 reviews)[78],66 (43 reviews)[79],A-[26]
Ghost Rider: Spirit of Vengeance,18% (114 reviews)[80],34 (22 reviews)[81],C+[26]
The Avengers,91% (362 reviews)[82],69 (43 reviews)[83],A+[26]
The Amazing Spider-Man,72% (335 reviews)[84],66 (42 reviews)[85],A-[26]
Iron Man 3,79% (329 reviews)[86],62 (44 reviews)[87],A[26]
The Wolverine,71% (259 reviews)[88],61 (46 reviews)[89],A-[26]
Thor: The Dark World,66% (285 reviews)[90],54 (44 reviews)[91],A-[26]
Captain America: The Winter Soldier,90% (306 reviews)[92],70 (48 reviews)[93],A[26]
The Amazing Spider-Man 2,52% (310 reviews)[94],53 (50 reviews)[95],B+[26]
X-Men: Days of Future Past,90% (330 reviews)[96],75 (44 reviews)[97],A[26]
Guardians of the Galaxy,92% (334 reviews)[98],76 (53 reviews)[99],A[26]
Big Hero 6,90% (227 reviews)[100],74 (39 reviews)[101],A[26]
Avengers: Age of Ultron,76% (375 reviews)[102],66 (49 reviews)[103],A[26]
Ant-Man,83% (336 reviews)[104],64 (44 reviews)[105],A[26]
Fantastic Four (2015),9% (261 reviews)[106],27 (40 reviews)[107],C-[26]
Deadpool,85% (349 reviews)[108],65 (49 reviews)[109],A[26]
Captain America: Civil War,90% (426 reviews)[110],75 (53 reviews)[111],A[26]
X-Men: Apocalypse,47% (345 reviews)[112],52 (48 reviews)[113],A-[26]
Doctor Strange,89% (385 reviews)[114],72 (49 reviews)[115],A[26]
Logan,94% (424 reviews)[116],77 (51 reviews)[117],A-[26]
Guardians of the Galaxy Vol. 2,85% (422 reviews)[118],67 (48 reviews)[119],A[26]
Spider-Man: Homecoming,92% (394 reviews)[120],73 (51 reviews)[121],A[26]
Thor: Ragnarok,93% (436 reviews)[122],74 (51 reviews)[123],A[26]
Black Panther,96% (525 reviews)[124],88 (55 reviews)[125],A+[26]
Avengers: Infinity War,85% (485 reviews)[126],68 (53 reviews)[127],A[26]
Deadpool 2,84% (420 reviews)[128],66 (51 reviews)[129],A[26]
Ant-Man and the Wasp,87% (438 reviews)[130],70 (54 reviews)[131],A-[26]
Venom,30% (359 reviews)[132],35 (46 reviews)[133],B+[26]
Spider-Man: Into the Spider-Verse,97% (392 reviews)[134],87 (50 reviews)[135],A+[26]
Captain Marvel,79% (543 reviews)[136],64 (55 reviews)[137],A[26]
Avengers: Endgame,94% (547 reviews)[138],78 (57 reviews)[139],A+[26]
Dark Phoenix,22% (381 reviews)[140],43 (52 reviews)[141],B-[26]
Spider-Man: Far From Home,90% (451 reviews)[142],69 (55 reviews)[143],A[26]
The New Mutants,36% (130 reviews)[144],43 (20 reviews)[145],
Black Widow,79% (438 reviews)[146],67 (57 reviews)[147],A-[26]
Shang-Chi and the Legend of the Ten Rings,91% (323 reviews)[148],71 (52 reviews)[149],A[26]
Venom: Let There Be Carnage,58% (262 reviews)[150],49 (48 reviews)[151],B+[26]
Eternals,47% (390 reviews)[152],52 (62 reviews)[153],B[26]
Spider-Man: No Way Home,93% (391 reviews)[154],72 (55 reviews)[155],A+[26]
